globalregion,country,quar,gov,monitor,healthcare,vulner,emergency,total
Europe,Jerman,145.5,185.92,138.24,103.73,89.74,99.5,762.64
Asia & Pacific,Selandia Baru,175.26,156.83,144.31,78.76,94.41,108.13,757.7
Asia & Pacific,Korea Selatan,149.45,183.31,127.07,85.6,94.23,111.13,750.79
Europe,Swiss,146.95,174.3,131.61,99.88,96.98,100.31,750.02
Asia & Pacific,Jepang,139.69,185.39,137.31,103.42,82.2,101,749.03
Asia & Pacific,Australia,150.15,182.32,130.21,83.7,88.83,109.63,744.83
Asia & Pacific,Cina,137.13,177.79,136.09,76.61,84.7,132.46,744.78
Europe,Austria,123.1,188.11,123.35,86.77,94.73,109.75,725.81
Middle east,Uni Emirat Arab,125.1,162.46,142.35,72.32,99.87,121.25,723.36
Asia & Pacific,Singapura,145.03,156.97,146.94,83.63,99.27,90.88,722.72
Middle East,Israel,124.06,170.72,143.07,84.36,84.24,103.03,709.47
North America,Kanada,135.96,170.41,136.1,71.49,91.87,99.63,705.45
Middle east,Arab Saudi,128.07,165.25,120.48,76.96,102.19,111.13,704.07
Europe,Islandia,147.58,172.41,109.29,77.32,102.68,85.75,695.02
Asia & Pacific,Taiwan,132.94,164.66,125.79,73.14,86.91,111.13,694.55
Europe,Norwegia,140.75,181.76,122.48,74.11,94.57,79.38,693.04
Europe,Liechtenstein,124.22,170.48,128.3,71.73,106.59,91.69,693.01
Asia & Pacific,Hong Kong,142.87,156.07,132.43,69.92,72.38,116.88,690.54
Europe,Finlandia,129.39,154.71,129.31,89.53,97.33,90.08,690.34
Middle east,Kuwait,143.39,162.43,114.78,72.87,93.59,101.69,688.74
Europe,Denmark,143.92,165.1,112.6,61.79,103.74,101,688.15
Europe,Monaco,124.53,167.57,123.35,88.5,109.21,71.44,684.6
Europe,Luxembourg,119.52,169.01,132.43,77.04,100.79,80.88,679.65
Middle east,Bahrain,137.68,163.19,122.01,72.73,99.34,83.86,678.82
Europe,Hungaria,132.26,153.48,119.9,70.54,79.27,119.75,675.19
Europe,Belanda,138.66,161.7,128.7,84.63,83.12,73.63,670.45
Middle east,Qatar,120.21,152.01,123.35,71.26,102.67,91.69,661.19
Europe,Cyprus,125.69,145.58,126.75,69.63,103.73,88,659.38
Middle east,Oman,128.25,153.67,114.55,70.13,101.37,77.19,645.16
Europe,Andorra,122.42,155.95,120.57,75.5,96.86,71.44,642.73
Europe,Inggris,112.32,149.39,112.45,71.29,87.53,86.74,619.72
Asia & Pacific,Vietnam,133.01,137.49,105.99,64.81,86.36,90.19,617.85
Europe,Estonia,120.67,149.76,95.35,73,90.92,85.13,614.82
Europe,Latvia,123.63,162.86,84.68,70.11,88.93,80.06,610.28
Europe,Irlandia,122.26,144.92,84.13,76.22,84.55,86.85,598.92
Europe,Turki,105.8,128.97,115.23,78.92,88.25,80.06,597.23
Europe,Polandia,122.49,128.45,94.19,72.21,89.14,80.06,586.54
Europe,San Marino,123.03,143.58,108.33,66.02,68.63,71.44,581.02
Europe,Belgia,126.67,120.37,80.33,72.57,85.03,95.25,580.22
Europe,Georgia,131.12,124.86,96.68,67.27,84.29,73.69,577.9
Europe,Yunani,119.69,129.04,99.23,75.07,80.84,73.69,577.56
Europe,Lithuania,119.59,125.89,90.4,75,87.48,76.73,575.08
Europe,Italia,111.32,119.35,88.13,74.48,78.66,96.98,568.91
Europe,Malta,113.74,134.52,102.13,59.21,83.51,75,568.1
Europe,Rusia,105.63,126.86,77.65,76.88,79.59,97.28,563.89
Asia & Pacific,Malaysia,126.05,108.96,94.63,59.09,87.35,85.81,561.89
Europe,Slovenia,116.94,122.57,91.2,75.38,89.75,64.88,560.73
South/Latin America,Uruguay,113.7,113.19,89.05,65.21,89.74,88.69,559.58
Europe,Swedia,116.57,118.31,60.61,76.72,85.23,96.98,554.4
Asia & Pacific,Brunei,125.66,121.59,84.55,57.89,70.38,89.38,549.44
Europe,Slovakia,124.35,100.17,87.31,70.49,85.64,80.06,548.02
Europe,Spanyol,107.67,145.33,58.05,73.69,80.56,78.34,543.63
Europe,Ceko,111.32,109.28,97.45,73.5,81.45,69.94,542.93
Europe,Pranics,104.13,136.48,57.24,78.58,79.12,86.85,542.4
