sub_region,code,date,retail,grocery,parks,transit,work,home,hari,kasus,keterangan
Indonesia,ID,2/15/2020,-2,-2,-8,1,5,1,Sabtu,0,
Indonesia,ID,2/16/2020,-3,-3,-7,-4,2,2,Minggu,0,
Indonesia,ID,2/17/2020,-3,-4,-7,-1,3,1,Senin,0,
Indonesia,ID,2/18/2020,-3,-2,-4,1,2,1,Selasa,0,
Indonesia,ID,2/19/2020,-3,-4,-3,0,1,1,Rabu,0,
Indonesia,ID,2/20/2020,-2,-1,-1,4,1,1,Kamis,0,
Indonesia,ID,2/21/2020,-2,-3,-5,2,5,1,Jumat,0,
Indonesia,ID,2/22/2020,0,0,-5,1,5,0,Sabtu,0,
Indonesia,ID,2/23/2020,-2,-1,-5,-4,3,1,Minggu,0,
Indonesia,ID,2/24/2020,-2,-3,-4,-1,4,1,Senin,0,
Indonesia,ID,2/25/2020,-5,-2,-6,-6,-2,3,Selasa,0,
Indonesia,ID,2/26/2020,-2,-1,-3,0,3,0,Rabu,0,
Indonesia,ID,2/27/2020,0,2,-3,2,4,0,Kamis,0,
Indonesia,ID,2/28/2020,1,3,-5,3,5,1,Jumat,0,
Indonesia,ID,2/29/2020,2,6,-7,4,6,0,Sabtu,0,
Indonesia,ID,3/1/2020,1,5,-8,0,3,1,Minggu,0,
Indonesia,ID,3/2/2020,5,12,0,3,5,0,Senin,2,Kasus pertama Nasional
Indonesia,ID,3/3/2020,3,10,-2,2,5,0,Selasa,2,
Indonesia,ID,3/4/2020,0,4,-5,-1,4,1,Rabu,2,
Indonesia,ID,3/5/2020,4,8,-1,3,4,0,Kamis,2,
Indonesia,ID,3/6/2020,2,4,-3,3,6,1,Jumat,4,
Indonesia,ID,3/7/2020,3,6,-4,3,6,0,Sabtu,4,
Indonesia,ID,3/8/2020,1,4,-4,-1,4,1,Minggu,6,
Indonesia,ID,3/9/2020,2,3,-1,1,5,1,Senin,19,
Indonesia,ID,3/10/2020,3,6,2,1,4,1,Selasa,27,
